"cmp1","cmp2","param1","param2","mean_quality_1","mean_quality_2","p_wilcoxon_quality","p_ttest_quality","significant_wilcoxon_quality","significant_ttest_quality","better_quality","agreement_quality","mean_time_1","mean_time_2","p_wilcoxon_time","p_ttest_time","significant_wilcoxon_time","significant_ttest_time","better_time","agreement_time"
"random","srz","first","transpose",19.279,6.225,0,0,TRUE,TRUE,"srz",TRUE,90.94,140.489,0,9.28843414181544e-322,TRUE,TRUE,"random",TRUE
"random","srz","first","exchange",3.102,3.892,0,0,TRUE,TRUE,"random",TRUE,21564.089,5859.219,0,1.23905495799309e-285,TRUE,TRUE,"srz",TRUE
"random","srz","first","insert",3.937,3.142,5.39547746717074e-308,0,TRUE,TRUE,"srz",TRUE,42733.66,11003.526,0,1.02192901801779e-284,TRUE,TRUE,"srz",TRUE
"random","srz","best","transpose",20.028,6.218,0,0,TRUE,TRUE,"srz",TRUE,83.829,141.061,0,0,TRUE,TRUE,"random",TRUE
"random","srz","best","exchange",5.626,4.542,0,0,TRUE,TRUE,"srz",TRUE,7410.449,2448.57,0,4.91866525339296e-288,TRUE,TRUE,"srz",TRUE
"random","srz","best","insert",5.007,3.591,0,0,TRUE,TRUE,"srz",TRUE,15073.391,5879.217,0,2.28754785783809e-290,TRUE,TRUE,"srz",TRUE
"first","best","random","transpose",19.279,20.028,1.91006472583954e-50,2.16910985489509e-48,TRUE,TRUE,"first",TRUE,90.94,83.829,9.49245083867544e-11,4.51966446960119e-20,TRUE,TRUE,"best",TRUE
"first","best","random","exchange",3.102,5.626,0,0,TRUE,TRUE,"first",TRUE,21564.089,7410.449,0,4.84707316454911e-279,TRUE,TRUE,"best",TRUE
"first","best","random","insert",3.937,5.007,0,0,TRUE,TRUE,"first",TRUE,42733.66,15073.391,0,5.14877157772687e-280,TRUE,TRUE,"best",TRUE
"first","best","srz","transpose",6.225,6.218,0.0770349195234569,0.1064629509364,FALSE,FALSE,"best",TRUE,140.489,141.061,1.62709383581986e-45,0.000138760355195637,TRUE,TRUE,"first",TRUE
"first","best","srz","exchange",3.892,4.542,4.36392364919247e-254,3.97419790155958e-288,TRUE,TRUE,"first",TRUE,5859.219,2448.57,0,1.93961793429264e-230,TRUE,TRUE,"best",TRUE
"first","best","srz","insert",3.142,3.591,1.23263271337541e-249,1.18309691107059e-291,TRUE,TRUE,"first",TRUE,11003.526,5879.217,0,1.27417882132883e-229,TRUE,TRUE,"best",TRUE
"transpose","exchange","random","first",19.279,3.102,0,0,TRUE,TRUE,"exchange",TRUE,90.94,21564.089,0,1.82772148390863e-291,TRUE,TRUE,"transpose",TRUE
"transpose","exchange","random","best",20.028,5.626,0,0,TRUE,TRUE,"exchange",TRUE,83.829,7410.449,0,1.60109357690919e-303,TRUE,TRUE,"transpose",TRUE
"transpose","exchange","srz","first",6.225,3.892,0,0,TRUE,TRUE,"exchange",TRUE,140.489,5859.219,0,5.22743039126758e-280,TRUE,TRUE,"transpose",TRUE
"transpose","exchange","srz","best",6.218,4.542,0,0,TRUE,TRUE,"exchange",TRUE,141.061,2448.57,0,1.54257092696246e-286,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","first",19.279,3.937,0,0,TRUE,TRUE,"insert",TRUE,90.94,42733.66,0,1.35064422401905e-293,TRUE,TRUE,"transpose",TRUE
"transpose","insert","random","best",20.028,5.007,0,0,TRUE,TRUE,"insert",TRUE,83.829,15073.391,0,3.92196010748495e-307,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","first",6.225,3.142,0,0,TRUE,TRUE,"insert",TRUE,140.489,11003.526,0,1.30595054428698e-290,TRUE,TRUE,"transpose",TRUE
"transpose","insert","srz","best",6.218,3.591,0,0,TRUE,TRUE,"insert",TRUE,141.061,5879.217,0,3.60811449418291e-302,TRUE,TRUE,"transpose",TRUE
"exchange","insert","random","first",3.102,3.937,4.38803452065756e-261,2.0096910649626e-318,TRUE,TRUE,"exchange",TRUE,21564.089,42733.66,0,3.20057639228838e-280,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","best",5.626,5.007,9.5220680826448e-130,3.85819129561238e-142,TRUE,TRUE,"insert",TRUE,7410.449,15073.391,0,2.48533748555954e-292,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","first",3.892,3.142,4.58709577758626e-287,0,TRUE,TRUE,"insert",TRUE,5859.219,11003.526,0,2.29669578179135e-217,TRUE,TRUE,"exchange",TRUE
"exchange","insert","srz","best",4.542,3.591,0,0,TRUE,TRUE,"insert",TRUE,2448.57,5879.217,0,1.72235339132334e-267,TRUE,TRUE,"exchange",TRUE
