"neighborhood_order","n_jobs","method_compared","improvement_pct_dev","improvement_time"
"tei",50,"exchange",30.263562560625,-48.5481178143578
"tei",50,"insert",11.0163085675211,35.2838043172336
"tei",100,"exchange",21.3755498264435,2.87404515218809
"tei",100,"insert",14.0510658614503,57.019348818389
"tei",200,"exchange",14.2995615284855,29.2708901320434
"tei",200,"insert",18.2338790741643,64.463143878478
"tie",50,"exchange",35.9607093611738,-27.9800613513123
"tie",50,"insert",18.2858676611625,44.2444453974533
"tie",100,"exchange",13.5465594310188,-0.382513371494908
"tie",100,"insert",5.49274362985008,55.578240659625
"tie",200,"exchange",11.1277153803574,26.6910273280789
"tie",200,"insert",15.2076453660112,63.1669277455602
